img_name,Head_x,Head_y,LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,LKnee_x,LKnee_y,Rknee_x,Rknee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,Neck_x,Neck_y,Hip_x,Hip_y
000000.jpg,1360.9769545738263,985.1494626541904,1447.9929753596114,1089.0819614000234,1417.2512981760476,1036.522456082891,1446.2065137203274,1241.0968942345658,1419.3243379461014,1157.622836840247,1386.943203645827,1349.6908039279167,1366.7585671311924,1261.4059854458144,1404.7189623830463,1327.0848736453884,1418.2185769327348,1293.5395459034687,1215.7789372664079,1365.7143320506002,1214.776971353176,1318.042215606914,1420.6961971059754,1383.7249172203453,1406.1696920841628,1298.8292694483473,1419.3014981247522,1015.0471057362962,1419.3187493005696,1299.4324576609831
000001.jpg,1363.4118616265037,984.053876523341,1448.4176216904486,1088.1753826450768,1415.207279974522,1034.8448972518145,1444.080601668071,1240.8310654072577,1419.402146161125,1157.4664517461454,1384.388442358332,1348.5685456592134,1365.8910694562117,1257.492537940669,1411.256337877133,1328.2287849359207,1416.2623379314414,1292.8724808669263,1215.5188569338418,1366.33519007073,1214.6740081550693,1319.2386716613491,1421.7182751192809,1384.1378245633837,1424.3176806685724,1355.9122747235135,1419.0124029062836,1013.2847358298579,1424.2633514721324,1299.1585016519666
000002.jpg,1360.9156557359395,980.9466726836531,1447.9587596867573,1087.9760752813916,1415.0497879154807,1036.0552267671226,1443.2407031673843,1241.3901663081483,1419.5158442602367,1156.6452641029407,1388.6304475554423,1348.5957188603745,1366.158081779232,1258.9452978600277,1409.2754817689502,1329.284995235803,1414.7971736964223,1292.0739010933355,1218.1162386612964,1367.8200080222775,1213.021461142178,1320.3731509034794,1426.190998770197,1384.4864771339985,1431.22763551951,1353.3425377032852,1420.5195793932733,1012.617628678782,1415.2368556380657,1299.312911740151
000003.jpg,1362.7202970132653,979.8441922149168,1446.0684066105512,1085.0679537483375,1415.1713771333707,1034.3153288125206,1439.354840138471,1240.2115456575966,1413.8823442265423,1159.8137613239462,1381.9174759128105,1348.488984421672,1366.9197277177118,1259.1396899629024,1389.9016869467891,1317.0572738914389,1411.5213106019298,1291.060420203767,1215.629794884959,1366.193699932034,1212.7698486005918,1321.2783493307238,1423.0108806578437,1382.6650210326281,1425.1852133245102,1352.304091657977,1420.4408688382048,1012.8619743987416,1412.0551403735492,1298.4902727047045
000004.jpg,1361.8093823319186,978.9647380638506,1445.4711802594989,1085.2304524884646,1416.3295747747973,1034.0311482421112,1439.0709938298692,1241.1600244033987,1418.2614406830724,1156.9819458549066,1382.8053860157477,1348.4479237785288,1365.1495619488524,1259.1339980659,1403.677148524248,1328.194159729303,1409.6611612317508,1292.2715661227357,1216.769264093051,1368.3373107716181,1212.6477988559036,1322.7421584425697,1434.0371639553782,1382.1962801935395,1426.8053164834528,1352.2167825599215,1420.495246519353,1012.2410469673606,1411.8414613841705,1298.8018708905536
000005.jpg,1360.9135968973408,978.2519225999338,1446.8445176938749,1085.4011988748766,1415.779438564001,1034.9551394460398,1439.1854827735192,1240.594920271888,1412.2881823469804,1158.1121396263331,1380.3303637736453,1349.8896580642943,1364.1647677775247,1257.7690789223916,1406.9550581514961,1333.0106056483455,1409.080892009493,1290.7708137011277,1215.7724525960334,1366.778144975041,1212.9844261463834,1322.939958954815,1431.7736156747064,1381.5630928434234,1424.7149597587415,1351.951115475498,1419.6671006113313,1010.9281159694269,1410.944289729299,1299.0925967572962
000006.jpg,1362.6859039697588,977.324588275267,1445.3507995444365,1084.7237961953272,1415.4443224791014,1034.158022778173,1437.6655243186697,1238.402908296185,1414.2725196691736,1157.6308867239482,1379.1752439191307,1348.1888441565743,1364.196352739046,1257.6998370808985,1402.8362923584527,1329.307810209791,1402.642114800437,1290.20640802327,1215.2630217791814,1368.3649166344608,1212.3538787736736,1321.4760477026816,1427.1308008421565,1388.8650881779863,1426.3889976348116,1350.8979183905226,1420.3409294932642,1011.0104048545006,1413.27837236131,1299.5766792413103
000007.jpg,1364.5189885350323,978.1325421817564,1446.0295031663102,1085.4401619842426,1415.964754340192,1034.4209742298356,1435.8225364437906,1239.276464118783,1415.0430363453256,1155.191304314111,1381.1956607499692,1348.686311900178,1362.3216338085092,1257.1043110557555,1401.7404953490086,1329.4017137244273,1407.8038496545694,1290.6591761367229,1215.3094503950845,1367.7483078139794,1211.891380647072,1323.4380116470431,1423.0492923438567,1391.9888681973941,1424.5933636246607,1350.0631800301358,1420.0397141805097,1010.2629345297473,1412.7657800209704,1298.676297027447
000008.jpg,1365.1377908360607,977.4215473225534,1444.3718459329402,1084.3910118206195,1415.0993150636784,1034.4678096346697,1436.6178351917836,1237.2082959098714,1415.1039543804307,1155.8923998054775,1379.772471471093,1347.0548688838564,1364.5996268933268,1257.7893850419164,1407.4859326525493,1333.4469287747324,1408.1176785900761,1291.5812188103992,1215.688362969326,1367.6518856950386,1212.4970668735793,1323.3924934529252,1429.941930202847,1381.880271698274,1417.9900015770033,1352.7698114271884,1419.8140495706418,1011.1454455586563,1411.9619822618452,1299.6234999704748
000009.jpg,1363.6446442633742,975.3868725497404,1444.9779785752332,1085.215802154126,1416.0738042054104,1035.7422108492044,1437.7058841948945,1236.9690565635096,1411.3132059445054,1157.905701600571,1379.0483816822475,1348.6291584370963,1364.0731838481502,1255.73275765408,1407.6846346117122,1333.3335144961718,1404.6897394062032,1290.4436156096424,1215.3098008978725,1368.37771807722,1211.9239227064177,1321.8482603786038,1427.2027451032686,1387.8055062040632,1422.1100124447514,1350.7372253147964,1420.6289589900427,1010.7058251517789,1412.5572575981248,1299.4523206126682
