img_name,Head_x,Head_y,LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,LKnee_x,LKnee_y,Rknee_x,Rknee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,Neck_x,Neck_y,Hip_x,Hip_y
000000.jpg,955.4888406470875,808.4462601733346,1028.3424763251544,924.7869417170293,1043.0412285429447,890.1847928549819,961.2297267462353,1070.4488651949816,981.059643765844,995.5974816308527,826.6153897132373,1037.9283821622764,849.2687371145137,960.6878720167509,1032.1072107796733,1195.4278325843538,1041.911246766126,1165.1445630067765,1057.1254903126883,1380.1472507046265,1061.0468372966652,1354.1286363554361,1088.600182735416,1552.298198485398,1088.6980318016538,1537.6820579400824,1032.9801238088755,858.0507470224806,1044.9299424743315,1171.5644044771261
000001.jpg,956.0224972259797,810.8686723653705,1032.066023115341,925.7401801458104,1042.858720611537,890.0485826732305,979.5529697248331,1077.1042684300912,989.1464053059663,1000.0480240385211,826.139049062763,1067.0766087954817,858.8150027306282,986.2286462886491,1038.6150572187496,1196.5740604327177,1043.5150541240116,1159.4003444277482,1058.7047415965876,1380.7921880624453,1063.148098256032,1353.7089010463008,1083.60023101505,1552.9998299315587,1086.0461494280678,1536.7914205813777,1029.8198365354128,857.1656522881841,1043.992190825429,1170.4512245522153
000002.jpg,954.905570782092,809.7121132824307,1030.7534670718906,926.2980496253028,1041.4104715775695,892.1621983039047,984.441451941164,1077.261100369161,1001.4192744242619,999.106902923596,833.1065389988214,1098.6790615813454,867.2097997499478,1007.0820260412092,1037.332479907729,1198.7122531748153,1044.1862314468883,1161.1035210149494,1057.9961325530294,1382.5870955803716,1063.8911979465051,1357.0097973381264,1086.8022823506067,1551.7918584499503,1089.1049301629828,1536.4909906911375,1029.460978629389,856.1034985105357,1042.477506548219,1169.8465177235582
000003.jpg,952.6744241554801,806.8967008843442,1024.6775723381802,929.3532954783896,1040.6348567425423,891.1651014892033,988.0972800826756,1085.728716474777,1002.3800879835759,1002.9289047999972,848.8606112619315,1128.966598789527,880.0050693866932,1025.892171734301,1037.8462719529862,1194.6499555109676,1043.5305409213358,1161.0637424584495,1055.2538534580392,1378.697278177479,1062.229833931084,1354.5280465596131,1089.2350180132835,1550.647863285115,1091.1016053575922,1535.020663608068,1027.4267177979784,857.2643957932002,1045.1503581565544,1171.2886107820018
000004.jpg,951.2345048668739,812.8747785705677,1027.8159094363577,926.5799705519395,1038.9700931153975,893.7705801768876,993.6627487345672,1088.0018148453184,1014.2264228926991,1005.1069971119433,867.087037699964,1158.3591227573909,900.1037023738501,1053.6292587100786,1031.9019495868088,1197.5429758986852,1039.5588888184086,1157.3103934668195,1059.3916688656934,1380.4645979238433,1062.3392106207848,1355.188430900885,1085.2317158127416,1552.897342481738,1088.3824292647143,1535.3265100498259,1025.4498300245002,856.7011075717961,1041.6571987331195,1171.2560612979805
000005.jpg,951.2811278744298,811.7967480428417,1030.1237618609864,926.1614784231652,1039.5604596521416,894.6850097344253,1003.5499866714084,1091.87008087483,1020.7152725971048,1010.6835520558678,892.2053918505272,1179.9628067852009,922.9420748567686,1071.9538500991396,1033.6001188526313,1194.3606764965136,1041.652658341347,1162.5474405616394,1057.557166733763,1382.7705415172304,1064.9412918284163,1356.512465460831,1086.7126941167207,1552.387870239056,1089.6369922526342,1536.7165754065315,1026.7832018536153,857.8213146055084,1038.73188705389,1170.060770762522
000006.jpg,947.6110887694605,813.5825965254613,1031.4483718107356,927.1706203548513,1037.4010266689452,894.8190829932983,1006.7804189578876,1094.6313067011667,1026.7877216755776,1012.6905826625524,915.9374244905661,1194.8747041640236,934.5219344932949,1092.3521671694123,1031.001572170008,1192.899656208992,1041.2056275438244,1164.081606052472,1060.1613441559653,1383.3792444520811,1061.7868334789287,1357.028516578732,1087.480871260502,1550.4515061264167,1089.98535046834,1538.933099579511,1024.9536678955892,856.8743522263394,1039.9767712600144,1171.5344877370205
000007.jpg,949.9442639978278,809.598364574792,1028.6269635821307,927.3224403315147,1036.4579207011277,894.2646319567712,1009.3516133660505,1095.4401611015237,1028.0311823746958,1021.8774485613446,932.0587699241921,1207.3761365457267,952.1992974041659,1104.3784453643384,1029.8240544713594,1197.3905868000807,1040.1102596617093,1167.1475382092087,1059.4807406237924,1383.1815757421934,1062.032285606765,1356.171730863883,1086.1110018298166,1552.6115299909638,1087.211431827013,1537.3808867540604,1024.084363669561,857.5179676086497,1043.1339038800775,1172.5120864613016
000008.jpg,946.5672290147994,809.0202465354193,1027.4966120420354,928.0458818072606,1040.3212129157864,892.9696269527323,1014.9838317519793,1094.1784437197455,1034.6558488245232,1026.9881150372962,952.8731398587074,1207.6831968478882,970.9455545150718,1118.4595017192576,1027.9924476782521,1197.193904354476,1043.9489500687469,1165.564098837708,1059.9959370286672,1383.4811386340123,1059.9284893833242,1355.6607792025054,1086.4101792856695,1553.0492996856099,1090.3678189947432,1537.7992887771102,1024.1197707815359,858.752692559074,1040.2840212680092,1171.1398094794843
000009.jpg,946.3016067041324,811.3804613016305,1027.2225976477894,926.3791389403749,1038.7673377454385,894.9811040515001,1019.6503021272725,1097.4673276750436,1039.1201698082616,1030.380275431625,966.2036413289784,1217.8809230548814,987.0164483289739,1120.9262389436308,1033.0729252724502,1199.6694227940166,1040.568382069972,1166.8460081812555,1058.7995705907517,1384.4645918416975,1060.2737636567597,1355.843820325866,1090.8480869616878,1552.147742854895,1086.4147654022645,1537.819556109589,1026.7295766217585,856.4531915400495,1042.7615188614272,1173.177894177462
